rank_test_average_precision,mean_test_average_precision,std_test_average_precision,mean_train_average_precision,std_train_average_precision,mean_test_roc_auc,std_test_roc_auc,mean_train_roc_auc,std_train_roc_auc,mean_fit_time,std_fit_time,mean_score_time,param_model__n_estimators,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__subsample,param_model__colsample_bytree,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,average_precision_gap,roc_auc_gap
1,0.18553484021113165,0.004978955021722822,0.33955855127380524,0.009857925995764008,0.6536202309423671,0.00410508419165288,0.7614442167958102,0.005456393274213105,10.692780494689941,0.049826978118957456,1.6491630872090657,400,0.03,5,1.0,1.0,0.7,0.1,2.0,1.5,0.1540237110626736,0.1078239858534431
2,0.18257560346984972,0.00637701774871838,0.3078363378598156,0.005241842037698904,0.6531993161278754,0.0053799953962055235,0.7463620498853878,0.004032997863288464,6.861451148986816,1.7644180967564065,0.7866387367248535,400,0.05,4,1.0,1.0,0.85,0.0,2.0,1.5,0.1252607343899659,0.09316273375751238
3,0.1818374421811121,0.003454709590082299,0.3968502215665059,0.017370396119591947,0.6515697909955281,0.004112539942576235,0.8045123797096022,0.00835519859326537,12.181383848190308,0.30602442486307546,1.8342621326446533,400,0.03,6,3.0,1.0,0.85,0.0,2.0,2.0,0.2150127793853938,0.15294258871407407
4,0.18095412010327314,0.005137024323244591,0.36841970709375665,0.006005727395275668,0.6527452897660792,0.0029488198676698896,0.8035986724304772,0.004127724662702662,9.158194700876871,2.6114670805965488,1.7268710136413574,400,0.03,5,3.0,0.85,0.85,0.5,1.0,5.0,0.18746558699048352,0.15085338266439807
5,0.17854127220137964,0.0052144951315928325,0.2793705957239141,0.007301476250530584,0.6501766274388531,0.006814690279202007,0.7263037626069934,0.001166180365055099,4.966066678365071,0.0903955826705303,1.0895532766977947,100,0.05,5,5.0,1.0,1.0,0.0,1.0,3.0,0.10082932352253446,0.07612713516814029
6,0.1778419548868652,0.005413148323617484,0.24864439953745512,0.0018174751149207676,0.6497406013182293,0.0070605338218166416,0.7010338284642431,0.0013002580193125462,6.313582420349121,0.26969500102460026,1.1935027440388997,200,0.03,4,1.0,1.0,0.85,0.1,2.0,2.0,0.07080244465058994,0.05129322714601381
7,0.1776179906037508,0.0007392506057234068,0.3022217774287231,0.004486553152007385,0.6516799042414007,0.0015650377454285377,0.7609540718189919,0.002927570723515024,7.04724399248759,0.33494135587057855,1.148236354192098,200,0.05,5,3.0,0.7,0.7,0.5,10.0,3.0,0.12460378682497228,0.10927416757759123
8,0.17692427013713385,0.003080265825141728,0.2648906971285346,0.002306459872646432,0.653395720969257,0.0025684932400180994,0.7285866899969543,0.0003617124915395142,7.724248170852661,0.3339782279974373,1.3011481761932373,200,0.03,5,10.0,0.7,0.85,0.1,2.0,2.0,0.08796642699140073,0.07519096902769729
9,0.17662788984508793,0.0030713276992188317,0.2664909559383819,0.004203522888352483,0.6506628241632179,0.005893226107480525,0.7273512584666303,0.001976306327742302,7.022998491923015,0.07091082822910544,1.1679007212320964,200,0.03,5,10.0,1.0,0.85,0.5,5.0,5.0,0.08986306609329398,0.07668843430341243
10,0.1761809969555904,0.003848245223227771,0.3037387082446244,0.005462113583515007,0.6508753682867949,0.00521426083071825,0.7642749899848434,0.0017358130917411257,6.400789181391398,0.08754095584532834,1.2725516160329182,200,0.1,4,10.0,1.0,1.0,0.1,1.0,3.0,0.127557711289034,0.11339962169804851
